"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"827","Nils Aman","VAN","C","43","380.28333333333","297","336","46.92","204","236","46.36","136","163","45.48","10","14","41.67","13.79","12.23","52.99","126","133","48.65","66","50","56.90","6","6","50.00","60","83","41.96","3","7","30.00","183","197","48.16","1","1","50.00","7.35","91.41","0.988","45","63","24","421","65.22","84","104","67","55.63"
"669","Paul Cotter","VGK","C","76","919.08333333333","881","998","46.89","618","678","47.69","421","463","47.62","31","40","43.66","37.44","36.57","50.59","419","417","50.12","159","155","50.64","16","21","43.24","260","262","49.81","12","9","57.14","490","597","45.08","3","10","23.08","7.36","91.36","0.987","139","179","142","662","49.47","255","247","284","47.31"
"368","Jake Middleton","MIN","D","80","1349.9166666667","1237","1402","46.87","877","979","47.25","609","666","47.76","50","70","41.67","50.18","52.11","49.06","562","587","48.91","223","214","51.03","28","30","48.28","339","373","47.61","16","27","37.21","722","932","43.65","6","13","31.58","8.21","89.49","0.977","154","312","201","958","43.38","383","469","488","43.97"
"395","Keegan Kolesar","VGK","R","79","820.95","734","833","46.84","487","576","45.81","343","390","46.79","24","34","41.38","29.58","32.42","47.71","362","362","50.00","142","135","51.26","14","16","46.67","220","227","49.22","8","13","38.10","353","499","41.43","2","5","28.57","7.00","91.28","0.983","68","262","135","668","33.50","117","334","243","32.50"
"248","Chad Ruhwedel","NYR, PIT","D","52","553.91666666667","480","545","46.83","329","386","46.01","231","260","47.05","15","22","40.54","19.15","21.45","47.17","191","225","45.91","82","85","49.10","6","12","33.33","109","140","43.78","4","4","50.00","258","344","42.86","5","6","45.45","6.49","91.54","0.980","33","94","91","534","26.61","76","144","205","27.05"
"129","Chris Wagner","COL","R","13","90.166666666667","81","92","46.82","56","67","45.53","42","45","48.28","4","1","80.00","2.41","4.14","36.81","27","41","39.71","9","17","34.62","0","1","0.00","18","24","42.86","3","0","100.00","51","43","54.26","1","0","100.00","9.52","97.78","1.073","7","15","7","109","50.00","15","25","21","41.67"
"824","Ilya Solovyov","CGY","D","10","143.56666666667","132","150","46.81","96","98","49.48","68","65","51.13","2","7","22.22","5.39","6.05","47.13","48","70","40.68","24","34","41.38","1","4","20.00","24","36","40.00","0","1","0.00","92","85","51.98","1","2","33.33","2.94","89.23","0.922","15","26","14","136","51.72","41","46","41","50.00"
"363","Kevin Labanc","S.J","R","46","485.05","452","514","46.79","310","375","45.26","223","262","45.98","9","36","20.00","17.64","25.08","41.29","185","263","41.29","70","107","39.55","5","14","26.32","115","156","42.44","4","15","21.05","270","287","48.47","0","7","0.00","4.04","86.26","0.903","51","80","68","422","42.86","109","121","159","40.67"
"197","Brendan Gaunce","CBJ","C","24","265.8","245","279","46.76","167","198","45.75","105","153","40.70","6","12","33.33","10.34","12.19","45.89","111","135","45.12","43","58","42.57","5","7","41.67","68","77","46.90","1","4","20.00","130","164","44.22","0","1","0.00","5.71","92.16","0.979","24","50","36","230","40.00","51","69","85","37.50"
"308","Trevor van Riemsdyk","WSH","D","70","1163.8166666667","1011","1152","46.74","682","803","45.93","471","539","46.63","45","49","47.87","45.67","44.79","50.49","487","494","49.64","214","195","52.32","28","29","49.12","273","299","47.73","10","10","50.00","534","677","44.10","7","10","41.18","9.55","90.91","1.005","82","214","123","979","40.00","286","343","340","45.69"
