"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"278","Nic Petan","MIN","C","6","58.583333333333","65","51","56.03","42","34","55.26","30","23","56.60","2","3","40.00","2.33","1.94","54.54","26","22","54.17","10","11","47.62","1","2","33.33","16","11","59.26","1","0","100.00","45","32","58.44","0","1","0.00","6.67","86.96","0.936","11","8","8","44","57.89","24","14","16","60.00"
"524","Trevor Moore","L.A","L","82","1116.3666666667","1268","996","56.01","963","682","58.54","675","476","58.64","59","46","56.19","57.55","41.48","58.11","543","453","54.52","223","176","55.89","33","23","58.93","320","277","53.60","13","17","43.33","756","586","56.33","13","6","68.42","8.74","90.34","0.991","155","265","151","772","50.65","306","380","307","49.92"
"621","Brady Tkachuk","OTT","L","81","1182.4333333333","1449","1140","55.97","1071","810","56.94","762","584","56.61","64","59","52.03","66.21","53.62","55.25","680","560","54.84","287","225","56.05","40","32","55.56","393","335","53.98","19","19","50.00","820","634","56.40","5","8","38.46","8.40","89.90","0.983","190","335","177","962","51.77","400","466","352","53.19"
"96","Craig Smith","DAL","C","75","749.03333333333","800","631","55.90","576","438","56.80","388","300","56.40","28","27","50.91","33.23","24.34","57.73","343","270","55.95","141","117","54.65","12","16","42.86","202","153","56.90","11","7","61.11","452","382","54.20","5","4","55.56","7.22","91.00","0.982","55","173","92","716","37.41","140","253","216","39.33"
"184","Phillip Danault","L.A","C","78","1058.2333333333","1198","947","55.85","919","657","58.31","640","456","58.39","51","38","57.30","54.9","41.66","56.86","524","428","55.04","213","171","55.47","28","18","60.87","311","257","54.75","12","15","44.44","710","565","55.69","11","5","68.75","7.97","91.67","0.996","141","255","148","725","48.79","289","359","294","49.57"
"357","Michael Bunting","CAR, PIT","L","81","1013.5166666667","1172","930","55.76","835","701","54.36","558","492","53.14","45","54","45.45","47.56","46.13","50.76","499","460","52.03","187","195","48.95","26","29","47.27","312","265","54.07","11","21","34.38","728","479","60.31","8","4","66.67","8.06","89.02","0.971","199","194","74","832","72.89","379","297","202","65.23"
"716","Jack Hughes","N.J","C","62","976.56666666667","1118","888","55.73","799","677","54.13","556","485","53.41","43","47","47.78","49.26","42.37","53.76","521","420","55.37","181","172","51.27","21","25","45.65","340","248","57.82","16","17","48.48","684","485","58.51","6","5","54.55","7.73","90.31","0.980","190","167","77","755","71.16","361","253","185","66.12"
"436","Conor Garland","VAN","R","82","1003.6666666667","1037","824","55.72","757","587","56.32","508","415","55.04","55","30","64.71","50.09","33.91","59.63","505","364","58.11","237","144","62.20","34","14","70.83","268","220","54.92","17","9","65.38","601","504","54.39","4","7","36.36","10.83","92.77","1.036","143","240","170","900","45.69","277","322","319","46.48"
"114","Tyler Toffoli","N.J, WPG","C, R","79","1027.7","1202","957","55.67","862","737","53.91","584","519","52.95","55","52","51.40","52.11","46.08","53.07","541","461","53.99","201","192","51.15","30","27","52.63","340","269","55.83","19","20","48.72","730","498","59.45","6","5","54.55","9.42","89.98","0.994","208","220","92","922","69.33","371","326","209","63.97"
"318","Leon Draisaitl","EDM","C","81","1256.7166666667","1401","1118","55.62","1053","846","55.45","733","613","54.46","76","49","60.80","74.67","53.81","58.12","733","559","56.73","324","215","60.11","46","29","61.33","409","344","54.32","18","17","51.43","839","633","57.00","12","3","80.00","10.37","92.01","1.024","271","278","164","673","62.30","486","375","386","55.73"
"724","Thomas Harley","DAL","D","79","1419.9666666667","1607","1283","55.61","1121","905","55.33","756","600","55.75","76","51","59.84","68.76","53.02","56.46","738","563","56.73","287","230","55.51","38","27","58.46","451","333","57.53","26","16","61.90","1007","759","57.02","12","8","60.00","10.05","91.50","1.016","215","280","185","952","53.75","544","431","413","56.84"
"397","Travis Konecny","PHI","R","76","1079.4166666667","1316","1051","55.60","926","715","56.43","657","491","57.23","57","53","51.82","51.19","45.46","52.96","581","498","53.85","229","196","53.88","23","29","44.23","352","302","53.82","21","18","53.85","829","592","58.34","13","6","68.42","8.68","89.21","0.979","216","260","136","762","61.36","446","368","279","61.52"
"737","Jordan Spence","L.A","D","71","877.11666666667","943","754","55.57","685","557","55.15","474","389","54.92","43","37","53.75","39.37","32.97","54.42","453","367","55.24","174","159","52.25","22","19","53.66","279","208","57.29","12","11","52.17","549","408","57.37","9","7","56.25","9.07","90.49","0.996","143","120","96","664","59.83","297","211","206","59.05"
"361","Oskar Lindblom","S.J","L","1","11.933333333333","10","8","55.56","6","6","50.00","5","6","45.45","0","1","0.00","0.12","0.37","24.89","3","4","42.86","0","2","0.00","0","0","-","3","2","60.00","0","1","0.00","8","5","61.54","0","0","-","0.00","83.33","0.833","1","4","3","8","25.00","4","5","10","28.57"
"295","Valeri Nichushkin","COL","R","54","796","929","744","55.53","655","562","53.82","439","399","52.39","42","38","52.50","39","34.67","52.93","459","353","56.53","177","162","52.21","18","23","43.90","282","191","59.62","15","11","57.69","560","435","56.28","9","4","69.23","9.57","90.48","1.000","165","158","99","540","62.50","326","261","236","58.01"
"491","Samuel Girard","COL","D","59","950.68333333333","1132","907","55.52","783","639","55.06","558","456","55.03","47","51","47.96","47.28","41.31","53.37","535","404","56.98","218","178","55.05","23","24","48.94","317","226","58.38","17","16","51.52","635","553","53.45","7","11","38.89","8.42","88.82","0.972","108","202","158","707","40.60","273","332","315","46.43"
"329","Tony DeAngelo","CAR","D","31","347.3","408","327","55.51","293","246","54.36","196","181","51.99","11","18","37.93","15.56","15.82","49.58","157","164","48.91","62","68","47.69","6","9","40.00","95","96","49.74","4","7","36.36","280","168","62.50","1","2","33.33","5.61","90.06","0.957","66","57","29","274","69.47","135","98","93","59.21"
"783","Alexis Lafrenière","NYR","L","82","1234.3","1451","1163","55.51","1046","876","54.42","715","632","53.08","69","62","52.67","62.73","56.15","52.76","722","563","56.19","277","230","54.64","30","42","41.67","445","333","57.20","23","18","56.10","822","560","59.48","16","2","88.89","9.65","90.19","0.998","236","215","63","961","78.93","425","297","159","72.77"
"314","Pierre-Edouard Bellemare","SEA","L","40","314.01666666667","301","242","55.43","200","170","54.05","127","111","53.36","12","8","60.00","11.62","9.75","54.37","140","102","57.85","50","38","56.82","7","3","70.00","90","64","58.44","4","4","50.00","158","159","49.84","1","1","50.00","9.45","92.79","1.022","33","72","53","301","38.37","61","99","88","40.94"
"465","Carl Grundstrom","L.A","R","50","521.46666666667","599","483","55.36","421","331","55.98","295","216","57.73","16","21","43.24","26.08","21.12","55.25","271","219","55.31","98","86","53.26","5","9","35.71","173","133","56.54","6","8","42.86","322","282","53.31","5","4","55.56","5.42","90.28","0.957","94","115","64","417","59.49","162","163","132","55.10"
"150","Josh Manson","COL","D","76","1173.3833333333","1300","1050","55.32","896","761","54.07","639","530","54.66","55","48","53.40","53.52","46.65","53.43","604","474","56.03","259","195","57.05","32","27","54.24","345","279","55.29","14","13","51.85","706","678","51.01","9","8","52.94","8.61","90.94","0.996","108","282","202","926","34.84","291","412","397","42.30"
"12","Sidney Crosby","PIT","C","82","1236.9166666667","1556","1259","55.28","1129","963","53.97","786","668","54.06","77","74","50.99","76.05","61.88","55.14","781","623","55.63","327","255","56.19","38","41","48.10","454","368","55.23","19","23","45.24","972","682","58.77","20","9","68.97","9.80","88.92","0.987","288","378","126","861","69.57","568","516","329","63.32"
"341","Brandon Montour","FLA","D","66","1158.7666666667","1297","1051","55.24","902","799","53.03","633","540","53.96","45","41","52.33","53.58","46.08","53.76","564","463","54.92","230","201","53.36","17","21","44.74","334","262","56.04","21","14","60.00","767","618","55.38","7","6","53.85","7.11","92.41","0.995","166","238","145","836","53.38","370","361","316","53.94"
"212","Radek Faksa","DAL","C","74","751.61666666667","751","613","55.06","524","437","54.53","347","298","53.80","29","34","46.03","28.54","25.02","53.29","315","275","53.39","130","114","53.28","12","18","40.00","185","161","53.47","11","10","52.38","416","365","53.27","6","6","50.00","8.36","88.59","0.969","60","179","101","675","37.27","134","255","221","37.75"
"593","Noah Cates","PHI","L","59","655.93333333333","712","582","55.02","515","356","59.13","356","243","59.43","24","33","42.11","33.24","21.45","60.77","326","260","55.63","161","96","62.65","12","10","54.55","165","164","50.15","10","17","37.04","384","360","51.61","2","6","25.00","6.74","86.42","0.932","101","173","118","533","46.12","197","229","215","47.82"
"596","Olle Lycksell","PHI","R","18","170","176","144","55.00","128","81","61.24","80","52","60.61","6","6","50.00","7.93","5.03","61.21","78","61","56.12","42","28","60.00","3","4","42.86","36","33","52.17","3","0","100.00","101","86","54.01","0","2","0.00","7.50","88.46","0.960","25","44","17","129","59.52","50","54","31","61.73"
"873","Declan Carlile","T.B","D","1","11.45","11","9","55.00","11","4","73.33","6","1","85.71","1","0","100.00","0.87","0.3","74.51","6","2","75.00","4","1","80.00","1","0","100.00","2","1","66.67","0","0","-","8","8","50.00","0","0","-","16.67","100.00","1.167","5","1","2","12","71.43","6","2","3","66.67"
"159","Nick Cousins","FLA","C","69","812.25","898","737","54.92","602","540","52.71","431","361","54.42","23","22","51.11","35.34","36.97","48.88","392","367","51.65","157","174","47.43","8","15","34.78","235","193","54.91","10","4","71.43","527","382","57.98","5","3","62.50","5.34","93.91","0.992","161","178","109","644","59.63","261","224","216","54.72"
"149","Ondrej Palat","N.J","L","71","929.85","1040","854","54.91","735","625","54.04","495","430","53.51","40","36","52.63","49.47","37.82","56.68","484","381","55.95","202","162","55.49","24","22","52.17","282","219","56.29","13","9","59.09","594","501","54.25","3","5","37.50","8.08","91.63","0.997","169","264","155","760","52.16","269","320","279","49.09"
"288","Jonathan Drouin","COL","L","79","1093.35","1238","1019","54.85","898","742","54.76","631","511","55.25","67","46","59.29","52.44","43","54.94","607","442","57.86","239","180","57.04","35","25","58.33","368","262","58.41","24","13","64.86","742","608","54.96","8","8","50.00","10.62","91.00","1.016","236","243","116","778","67.05","421","353","281","59.97"
"851","Wyatt Johnston","DAL","C","82","1072.7166666667","1212","999","54.82","843","698","54.70","590","475","55.40","52","43","54.74","55.73","38.9","58.89","585","420","58.21","242","168","59.02","27","25","51.92","343","252","57.65","21","9","70.00","712","617","53.57","4","9","30.77","8.81","90.95","0.998","179","206","154","811","53.75","369","317","336","52.34"
"799","Luke Evangelista","NSH","R","80","917.4","1021","842","54.80","739","589","55.65","517","419","55.24","40","36","52.63","44.5","34.18","56.56","506","396","56.10","195","150","56.52","20","18","52.63","311","246","55.83","14","14","50.00","571","456","55.60","6","4","60.00","7.74","91.41","0.991","160","159","66","732","70.80","313","249","165","65.48"
"58","Erik Karlsson","PIT","D","82","1580.3166666667","1852","1535","54.68","1318","1150","53.40","932","766","54.89","75","69","52.08","83.09","69.98","54.29","894","732","54.98","387","287","57.42","36","41","46.75","507","445","53.26","20","16","55.56","1079","905","54.39","19","11","63.33","8.05","90.99","0.990","224","298","197","1107","53.21","564","502","480","54.02"
"322","Nikolaj Ehlers","WPG","L","82","1073.7333333333","1198","993","54.68","876","730","54.55","611","502","54.90","62","33","65.26","53.3","44.19","54.67","535","441","54.82","224","190","54.11","31","19","62.00","311","251","55.34","24","10","70.59","735","583","55.77","7","4","63.64","10.15","93.43","1.036","234","204","120","774","66.10","418","301","284","59.54"
"52","Drew Doughty","L.A","D","82","1554.5833333333","1621","1344","54.67","1169","932","55.64","796","631","55.78","60","44","57.69","69.94","57.25","54.99","707","619","53.32","283","245","53.60","28","25","52.83","424","374","53.13","19","12","61.29","957","813","54.07","13","7","65.00","7.54","93.03","1.006","156","321","228","893","40.63","452","516","463","49.40"
"791","Quinton Byfield","L.A","C, R","80","1072.9166666667","1132","942","54.58","797","672","54.25","533","461","53.62","47","28","62.67","46.91","37.5","55.58","499","417","54.48","207","157","56.87","34","16","68.00","292","260","52.90","7","7","50.00","719","602","54.43","6","5","54.55","8.82","93.93","1.027","192","235","166","787","53.63","382","332","364","51.21"
"667","Martin Pospisil","CGY","C","63","759.13333333333","861","717","54.56","606","513","54.16","415","361","53.48","37","24","60.66","36.85","31.76","53.71","397","346","53.43","158","150","51.30","20","7","74.07","239","196","54.94","7","10","41.18","527","400","56.85","10","6","62.50","8.92","93.35","1.023","149","190","83","671","64.22","299","274","181","62.29"
"7","Mark Giordano","TOR","D","46","629.58333333333","720","600","54.55","498","423","54.07","350","275","56.00","32","25","56.14","31.14","26.49","54.03","359","258","58.18","150","112","57.25","16","15","51.61","209","146","58.87","11","7","61.11","402","332","54.77","5","3","62.50","9.14","90.91","1.001","78","119","66","627","54.17","197","185","161","55.03"
"187","Colin Miller","N.J, WPG","D","46","648.41666666667","720","600","54.55","511","448","53.28","357","316","53.05","32","20","61.54","30.92","28.6","51.94","313","286","52.25","126","129","49.41","14","11","56.00","187","157","54.36","11","6","64.71","457","311","59.51","7","3","70.00","8.96","93.67","1.026","106","132","65","603","61.99","243","201","152","61.52"
"259","John Hayden","SEA","C","2","13.45","12","10","54.55","9","6","60.00","5","6","45.45","0","1","0.00","0.23","0.27","45.92","4","4","50.00","0","3","0.00","0","1","0.00","4","1","80.00","0","0","-","9","8","52.94","0","0","-","0.00","83.33","0.833","2","3","2","15","50.00","4","3","6","40.00"
"389","Mikko Rantanen","COL","R","80","1368.15","1607","1339","54.55","1146","971","54.13","808","679","54.34","87","64","57.62","66.73","57.77","53.60","813","589","57.99","309","246","55.68","42","30","58.33","504","343","59.50","34","23","59.65","998","806","55.32","11","11","50.00","10.77","90.57","1.013","344","281","146","812","70.20","666","418","369","64.35"
"841","Luke Hughes","N.J","D","82","1369.4","1503","1253","54.54","1042","941","52.55","717","660","52.07","51","55","48.11","67.45","61.13","52.46","686","593","53.64","265","270","49.53","27","30","47.37","421","323","56.59","15","19","44.12","925","705","56.75","9","6","60.00","7.11","91.67","0.988","208","281","171","1088","54.88","496","412","343","59.12"
"457","Auston Matthews","TOR","C","81","1241.1833333333","1392","1165","54.44","1005","797","55.77","670","515","56.54","81","53","60.45","65.39","51.29","56.04","720","553","56.56","318","223","58.78","46","24","65.71","402","330","54.92","26","20","56.52","788","644","55.03","9","9","50.00","12.09","89.71","1.018","195","297","126","852","60.75","431","451","303","58.72"
"684","Logan O'Connor","COL","R","57","699.88333333333","774","648","54.43","545","443","55.16","371","304","54.96","30","24","55.56","32.86","28.25","53.77","349","291","54.53","152","132","53.52","17","16","51.52","197","159","55.34","9","3","75.00","424","406","51.08","4","5","44.44","8.09","92.11","1.002","68","162","124","575","35.42","125","221","242","34.06"
"806","Tyson Foerster","PHI","R","77","1074.5333333333","1158","971","54.39","823","640","56.25","573","418","57.82","47","42","52.81","44.95","36.33","55.30","499","436","53.37","204","158","56.35","19","19","50.00","295","278","51.48","20","13","60.61","698","594","54.02","8","10","44.44","8.20","89.95","0.982","161","256","153","840","51.27","325","372","314","50.86"
"85","Dmitry Kulikov","FLA","D","76","1054.6333333333","1117","937","54.38","779","688","53.10","538","461","53.85","40","35","53.33","48.26","41.99","53.47","485","412","54.07","206","184","52.82","21","27","43.75","279","228","55.03","9","6","60.00","715","551","56.48","9","2","81.82","7.43","92.41","0.998","191","229","108","934","63.88","387","341","270","58.90"
"160","Blake Coleman","CGY","C","78","1093.2","1242","1042","54.38","880","738","54.39","605","496","54.95","50","45","52.63","54.91","46.27","54.27","570","497","53.42","227","200","53.16","28","23","54.90","343","297","53.59","13","14","48.15","674","671","50.11","9","8","52.94","8.26","90.93","0.992","136","281","261","761","34.26","301","397","457","39.71"
